full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff,nba_player_id,id_ambiguous,war,war_rate82,dollar_value
Josh Okogie,0.6242111557202689,-0.31324421889721776,0.44134027677775023,-1.2503151608740146,0.18960211741269228,0.7474688245641046,0.409169599870296,0.9766192241690008,-0.9444485472615466,0.4961150978397364,0.9692416188842511,4.359709101451332,11107.558610836055,1629006,False,2.112,2.249,6335775.0
Donte DiVincenzo,0.622032665739558,0.6966959856585127,-0.06643331593679208,1.3228736200359772,-0.12706032656100213,-0.4991173078164623,-0.05615327332141643,0.43621456356616833,-0.44649460618154396,-0.00823000398216267,-0.6364576769928401,2.9657247403452542,24002.24993341147,1628978,False,3.199,3.2380000000000004,9596993.0
Mouhamed Gueye,0.6187111982132095,-0.5055577229612791,0.6295833038835422,-1.29895292844673,0.44580459169946557,0.34759061378598544,-0.47378144296948177,0.6947715090492614,0.40859323780376255,0.4946856172909464,1.896759952338475,5.975146327339269,5913.40760308477,1631243,False,2.584,2.752,7753233.0
Donovan Clingan,0.6179131712518481,-0.7798419486621975,0.756284252435139,-2.854670003398142,-0.1988714499728479,2.2736995047087922,0.5249015832996641,-0.27306014450919963,0.5044428136446745,0.6414708674789066,2.3062107238714193,4.2846893848733085,11499.369116284055,1642270,False,5.51,5.868,16529862.0
Dante Exum,0.5864922250036547,0.422009664293196,0.04779277735919877,0.21108761293488693,0.552449630754535,-0.3415275793962259,0.07359998853502181,-0.06321000761721644,0.0374027964413934,0.11668978335125996,0.18511484018248606,8.135785979102927,3189.4376076644094,,True,,,
Kevin Love,0.565706394507779,0.24145125573331916,0.35703462663233165,-0.0523342762767775,0.25664982307537865,0.037135708934718,-0.7226515265904179,-0.021446576326961817,1.1011327295497113,-0.03277948785787177,1.3734716852328461,5.099225143505919,8119.049945903671,201567,False,0.629,1.394,1887540.0
Norman Powell,0.5494167054973483,0.389349973211372,0.16772970679780935,0.7785505345280983,0.33600249404711885,-0.7252030553638452,-0.01882455201720567,0.24377659465098206,-0.057222335835967024,-0.007662974511832954,-0.20264630250171134,3.207696594861208,20517.647657300953,1626181,False,2.152,3.043,6457301.0
Kris Murray,0.5464677996459851,-1.7592376467481352,1.915339096417176,-1.7774635361686058,-0.6503184654155113,0.6685443548359816,0.791562741196261,0.2638133833478465,0.8599629718730684,0.3903663499769444,1.1420022446413851,4.624777699961013,9870.35333419524,1631200,False,0.934,1.344,2803306.0
Keegan Murray,0.5408252675444684,-0.5157983316618043,0.9934685850818339,-0.7267542728482812,0.3102242052759701,-0.09926826408949325,0.726547186551083,0.015372321906254684,0.25154907662449616,0.0631550141244388,0.4778773397172277,3.5471709333952703,16778.340016741735,1631099,False,0.333,1.188,999818.0
Darius Garland,0.5128811015036961,1.09715144016026,-0.49073075289173,1.8342554750193973,0.19761038832504085,-0.9347144231841785,-0.3239152178034166,0.22692927471496038,-0.3937448098032738,-0.0935395857648339,-0.9039195699474512,3.16797051140194,21035.531364716127,1629636,False,0.43499999999999994,0.7935555555555556,1306537.0
Anthony Edwards,0.48468359138546446,1.6623215322686544,-1.1069435721591105,2.2764057323138234,0.3210718536131505,-0.9351560536583196,-1.749794299139715,0.03445462331976164,0.6083961036608431,-0.07069436872407941,0.028766526935435688,2.634458736507283,30417.94378103326,1630162,False,3.427,4.684,10281876.0
Jordan Goodwin,0.4653053913257693,-0.9203031974765292,0.8712184748307695,-2.238806861827458,-0.12159482265483255,1.4400984870057616,-0.9030709958836833,1.267347716749806,0.5069417539646469,0.514390113971529,3.092793135065382,4.578256891283807,10071.982486593457,1630692,False,3.064,3.589,9191557.0
